"","tweet","created","number"
"1","negative",2016-11-14,339
"2","negative",2016-11-15,268
"3","neutral",2016-11-14,454
"4","neutral",2016-11-15,312
"5","positive",2016-11-14,342
"6","positive",2016-11-15,257
